Date, Open, High, Low, Close
01/25/16, 0.252, 0.264, 0.234, 0.249
01/22/16, 0.270, 0.277, 0.236, 0.254
01/21/16, 0.264, 0.285, 0.252, 0.275
01/20/16, 0.208, 0.241, 0.201, 0.226
01/19/16, 0.196, 0.219, 0.168, 0.211
01/15/16, 0.216, 0.226, 0.165, 0.193
01/14/16, 0.229, 0.234, 0.203, 0.219
01/13/16, 0.221, 0.229, 0.201, 0.221
01/12/16, 0.193, 0.218, 0.190, 0.203
01/11/16, 0.205, 0.208, 0.172, 0.195
01/08/16, 0.205, 0.218, 0.177, 0.200
01/07/16, 0.215, 0.221, 0.195, 0.213
01/06/16, 0.210, 0.226, 0.182, 0.210
01/05/16, 0.188, 0.221, 0.107, 0.203
01/04/16, 0.135, 0.196, 0.114, 0.178
12/31/15, 0.145, 0.150, 0.025, 0.147
12/30/15, 0.142, 0.168, 0.074, 0.081
12/29/15, 0.125, 0.135, 0.094, 0.135
12/28/15, 0.150, 0.165, 0.107, 0.122
12/24/15, 0.193, 0.203, 0.147, 0.152
12/23/15, 0.150, 0.208, 0.145, 0.196
12/22/15, 0.130, 0.158, 0.125, 0.147
12/21/15, 0.155, 0.168, 0.114, 0.127
12/18/15, 0.191, 0.196, 0.135, 0.155
12/17/15, 0.206, 0.208, 0.163, 0.180
12/16/15, 0.150, 0.244, 0.150, 0.231
12/15/15, 0.122, 0.167, 0.112, 0.150
12/14/15, 0.139, 0.144, 0.076, 0.119
12/11/15, 0.180, 0.206, 0.132, 0.139
12/10/15, 0.193, 0.206, 0.165, 0.182
12/09/15, 0.221, 0.226, 0.188, 0.198
12/08/15, 0.206, 0.229, 0.191, 0.205
12/07/15, 0.173, 0.213, 0.165, 0.203
12/04/15, 0.188, 0.198, 0.160, 0.175
12/03/15, 0.193, 0.208, 0.180, 0.193
12/02/15, 0.180, 0.206, 0.173, 0.191
12/01/15, 0.097, 0.125, 0.089, 0.099
11/30/15, 0.132, 0.137, 0.094, 0.099
11/27/15, 0.147, 0.150, 0.125, 0.127
11/26/15, 0.130, 0.130, 0.130, 0.130
11/25/15, 0.122, 0.150, 0.109, 0.142
11/24/15, 0.053, 0.099, 0.046, 0.086
11/23/15, 0.053, 0.094, 0.041, 0.048
11/20/15, 0.056, 0.071, 0.046, 0.061
11/19/15, 0.071, 0.076, 0.051, 0.053
11/18/15, 0.076, 0.094, 0.061, 0.064
11/17/15, 0.035, 0.063, 0.028, 0.056
11/16/15, 0.030, 0.048, -0.020, 0.028
11/13/15, 0.079, 0.089, 0.023, 0.028
11/12/15, 0.081, 0.099, 0.068, 0.089
11/10/15, 0.048, 0.084, 0.038, 0.084
11/09/15, 0.041, 0.071, 0.030, 0.043
11/06/15, 0.043, 0.074, 0.030, 0.038
11/05/15, 0.081, 0.086, 0.036, 0.046
11/04/15, 0.043, 0.089, 0.036, 0.076
11/03/15, 0.005, 0.043, -0.008, 0.036
11/02/15, 0.010, 0.028, 0.003, 0.003
10/30/15, 0.018, 0.030, -0.003, 0.020
10/29/15, 0.033, 0.041, 0.008, 0.025
10/28/15, 0.013, 0.041, 0.010, 0.036
10/27/15, 0.015, 0.023, -0.010, 0.005
10/26/15, 0.010, 0.036, 0.003, 0.018
10/23/15, 0.020, 0.033, 0.005, 0.025
10/22/15, 0.008, 0.053, -0.005, 0.018
10/21/15, 0.076, 0.094, 0.008, 0.013
10/20/15, 0.076, 0.132, 0.058, 0.109
10/19/15, 0.038, 0.180, 0.028, 0.086
10/16/15, 0.013, 0.051, -0.003, 0.043
10/15/15, -0.003, 0.018, -0.005, 0.003
10/14/15, 0.003, 0.010, -0.020, -0.003
10/13/15, 0.008, 0.020, -0.003, 0.003
10/09/15, 0.005, 0.025, -0.010, 0.005
10/08/15, -0.003, 0.013, -0.018, 0.010
10/07/15, -0.003, 0.018, -0.020, -0.005
10/06/15, -0.018, -0.008, -0.043, -0.018
10/05/15, -0.025, -0.005, -0.043, -0.020
10/02/15, -0.015, -0.003, -0.033, -0.015
10/01/15, -0.010, -0.008, -0.030, -0.018
09/30/15, -0.005, 0.003, -0.028, -0.008
09/29/15, -0.018, 0.005, -0.030, -0.003
09/28/15, -0.020, -0.005, -0.041, -0.015
09/25/15, -0.025, -0.005, -0.030, -0.020
09/24/15, -0.025, -0.015, -0.033, -0.028
09/23/15, -0.013, -0.005, -0.023, -0.020
09/22/15, -0.010, -0.003, -0.020, -0.010
09/21/15, -0.013, -0.005, -0.025, -0.013
09/18/15, -0.015, 0.008, -0.025, -0.010
09/17/15, 0.003, 0.015, -0.025, -0.018
09/16/15, 0.010, 0.023, 0.003, 0.008
09/15/15, 0.013, 0.028, 0.003, 0.008
09/14/15, 0.028, 0.038, 0.003, 0.015
09/11/15, 0.023, 0.046, 0.015, 0.033
09/10/15, 0.023, 0.028, -0.003, 0.025
09/09/15, 0.013, 0.038, 0.005, 0.028
09/08/15, 0.010, 0.025, -0.003, 0.018
09/04/15, 0.013, 0.030, 0.003, 0.008
09/03/15, 0.013, 0.025, 0.003, 0.020
09/02/15, 0.008, 0.033, -0.003, 0.010
09/01/15, 0.010, 0.020, -0.030, 0.010
08/31/15, 0.013, 0.023, -0.015, -0.003
08/28/15, 0.008, 0.028, -0.005, 0.013
08/27/15, 0.025, 0.038, 0.008, 0.013
08/26/15, 0.038, 0.053, 0.030, 0.038
08/25/15, 0.023, 0.046, 0.013, 0.025
08/24/15, 0.013, 0.030, 0.005, 0.018
08/21/15, 0.005, 0.028, 0.003, 0.005
08/20/15, 0.043, 0.051, -0.005, 0.005
08/19/15, 0.028, 0.061, 0.025, 0.041
08/18/15, 0.023, 0.036, 0.005, 0.035
08/17/15, 0.030, 0.046, 0.013, 0.025
08/14/15, 0.056, 0.061, 0.025, 0.030
08/13/15, 0.059, 0.069, 0.043, 0.053
08/12/15, 0.048, 0.069, 0.033, 0.061
08/11/15, 0.025, 0.051, 0.013, 0.051
08/10/15, 0.030, 0.048, 0.010, 0.023
08/07/15, 0.033, 0.048, 0.020, 0.041
08/06/15, 0.051, 0.059, 0.025, 0.036
08/05/15, 0.038, 0.066, 0.036, 0.053
08/04/15, 0.030, 0.056, 0.020, 0.041
08/03/15, 0.030, 0.041, 0.013, 0.025
07/31/15, 0.046, 0.058, 0.018, 0.033
07/30/15, 0.056, 0.058, 0.041, 0.051
07/29/15, 0.046, 0.058, 0.041, 0.053
07/28/15, 0.041, 0.053, 0.033, 0.048
07/27/15, 0.035, 0.046, 0.025, 0.043
07/24/15, 0.041, 0.048, 0.023, 0.038
07/23/15, 0.038, 0.043, 0.028, 0.035
07/22/15, 0.038, 0.053, 0.023, 0.035
